lemma,bedeutung,sachgruppe
Dachskopf,Mensch (pejor),6111
depeschieren,sich beeilen,6400
Brösel,Brotkrumen,5910
Erde,"Erde, Humus",2700
ausbolzen,"(sich ein Gelenk) auskugeln, ausrenken",4010
Wetze,unruhig am Tisch sitzendes Kind,5173
Betonboden,schwerer Ackererde,2700
ab,herunter (in Redensart),9510
hinankommen,an eine Stelle kommen,9500
Tafel,Wegweiser,7810
Gemeindeblättlein,klatschsüchtige Frau,6135
Gluthitze,sehr große Hitze,2200
sattwerden,genug bekommen,9314
Eisscholle,Eisklumpen,9233
ausweiten,Kleidungsstücke durch längeres Tragen in unförmiger Weise weiten,5930
Anklopfet,"Brauch am Donnerstag vor dem vierten Advent, an dem Kinder Gaben erbetteln",7350
mitnehmen,einkaufen,7600
Feldstein,vom Acker abgesammelter Stein,2910
zusammengeschoben,durch schieben erstellt,7430
Ohrhängselein,Ohrring mit kleinen Perlen dran,5938
Bäker,Tannenzapfen,3110
Waldhüter,"Baum, Holz mit vielen astigen Stellen",7550
Hasenmann,"Mann, dessen Frau ihm durch schimpfen zusetzt",6120
Kätzlein,Kätzchen,4116
unrecht,"ungesund, verdorben von Essen",5910
übergehen,"überquellen, überlaufen",9400
Schlagen,das durch kreisförmige Bewegen hervorgerufene Vermischen der Bestandteile einer Flüssigkeit,9800
Würgete,Geschenk zum Namenstag,7330
zerschlagen,"ermüdet, erschöpft von Arbeit",5600
Handschmitze,Stockschlag auf die Hand,5521
Pflugschleife,Holzgestell zum Pflugtransport,7404
Nestlein,zum Knoten aufgestecktes Haar,5940
Schmatzerl,Kuss,6332
Wagen,Fahrgestell des Leiterwagens,7403
Spracho,"Mann, der ununterbrochen redet, sich gern reden hört",6126
Hasenläufer,Wildwechsel,7550
Graueln,am Morgen langsam hell werden,2100
stecken,gefangen sein (Redensart),6430
malen,malen,8600
partout,überhaupt,9400
herabstürzen,"vom Rad geschleudert werden, stürzen",7800
gestreckterlängs,"auf dem kürzesten, schnellsten Weg; sofort",9500
gemästet,fett gefüttert,5210
grüne Raupe,"Kohlweißlingsraupe, Schädling der Kohlpflanzen",4700
Autogramm,eigenhändige Unterschrift,8300
Äschenbeutel,mit Holzasche gefüllter Sack,7770
Dockelein,"Liebling, bevorzugter Schüler des Lehrers",7010
Firmendot,Firmpatenkind,7000
Eisenkeitel,Keil mit dem große Holzstücke zerteilt werden,7520
herrducken,"Ausruf der Verwünschung, Fluch, Ausdruck des Zorns, erweitert",1240
fragen,"fragen, sich erkundigen",6421
Arschbirne,Birne (in Redensart),3120
Handhader,Lappen zum Nassaufwischen,7780
Nassfutter,Schweinefutter,7450
grundlen,gründeln,4020
derlassen,das Absondern von Ausfluss aus den Geschlechtsorganen der Kuh nach dem Bespringen,4111
Damian,spröder Bursche,6121
aufrennen,"hastig, übereilt aufstehen",5570
Kloßerdapfel,"Kartoffel, die für die Herstellung von Klößen besonders geeignet ist",3400
Wirtssaal,"Ort, an dem der Kirchweihtanz stattfindet",8740
Riese,großer Mensch,5121
ausheben,aus der Spur Werfen des Pfluges infolge harten Untergrundes,7430
Mordstrumm,kräftige Frau,5160
derlechen,"müde, erschöpft von Arbeit",5600
Pelz,Pelz (in Fügung),4010
Läufersäulein,Altersstufe des Ferkels,4113
Trageschlitten,Lastschlitten,7405
Pirol,"starähnlicher, scheuer, leuchtend gelber Zugvogel mit schwarzem Schwanz und schwarzen Flügeln, der einen melodischen Ruf hören lässt",4210
Fleischriemen,ein Stück Räucherfleisch,7565
gescheit,"übermäßig, enorm",9400
Gewaltratsche,"Frau, die den ganzen Tag in der Stadt herumläuft, um Klatsch zu verbreiten",6135
Schöber,"kleines Heuhäufchen, das bei drohendem Regen zusammengeschoben wird",7430
spielen,spielen,7360
Lackel,spröder Bursche,6121
Alltagsware,Werktagskleidung,5932
hinabpatschen,den Spielball aufspringen lassen,7340
anstänkern,"in Streit geraten, einen Streit beginnen",7030
Wegscheißer,Geschwür am Auge,5700
Einbildige,sprödes Mädchen,6139
andtun,"Leid tun, bedauern",6330
Gestöber,Aprilschauer,2200
alle zwei Minuten,"in kurzen Abständen, häufig",9600
Bauerfängerin,besonders ungerade sonstwie eigenartige Zahl,9320
Tod,Traumgespenst,5870
zimperlich,auffallend körperlich schwach,5600
Fingerschwamm,"Pilzart, wohl Ziegenbart",3510
Amifreundin,"Frau (evtl. pejor): Mädchen, das mit einem Amerikaner befreundet ist",6136
Preuße,Hitzkopf,6117
Kellerbätzelein,Kellerassel,4600
Bettelsack,"einer, der Gelüste hat",6400
Macke,nasse Stelle auf dem Feld,2700
tüchtig,"intensiv, angestrengt",9400
Hollerbüchse,Zündhütchen,8500
gefreien,"verkuppeln, Ehe vermitteln",7321
Fleckschnuller,Saugbeutel für Kleinkinder,5830
