lemma;bedeutung;sachgruppe
A;erster Buchstabe im Abc;8400
A;(ü) Anfang;9313
a;Ausruf der Überraschung;1230
a;Ausruf des Ekels;1230
a;Ausruf des Behagens;1230
aa;Ausruf des Verstehens;1230
aa;Ausruf der Freude;1230
aa;Ausruf des Schmerzes;1230
ä;Ausruf des Ekels und der Abscheu;1230
ää;Ausruf des Hohnes und der Schadenfreude, bes. bei Kindern;1230
a-a, ä-ä;Verneinung nach vorausgegangener Frage;1230
Aa;Liebkosung (KS);6332
Aa, a-'aa, ä-'ää;Kot von Menschen oder Tieren (KS);5340
Aal;der Fisch Anguilla vulg;4310
Aal-angel;Angel zum Aalfang;7570
Aalen-haut;Haut des Aals;4310
Aal-fang;Aalfang bei der Mühle;7580
aal(en)-fett;fett wie ein Aal;5210
aal-glatt;glatt wie ein Aal;6510
Aal-kasten;Aalfangkasten;7570
Aal-koben;Fach zum Aalfangen;7570
Aal-korb;geflochtene Aalfalle;7570
Aal-raupe;der Fisch Aalraupe;4310
Aal-reuse;zylindrisches, über Reifen gespanntes Netz...;7570
Aas;Spreu als Viehfutter;7450
Aas;Schweinefutter;7450
Aas;verwesende Tierleiche;4010
Aas;Scheltwort...;6111
Aas-dreck;mindere Spreu;7440
Aas-geier;Bussardart, die sich von Aas nährt;4220
Aas-geier;rücksichtsloser Mensch;6110
aasig;sehr schlecht;9240
Aas-jäger;unweidmännischer Jäger;7550
Aas-kammer;Kammer zur Aufbewahrung der Spreu;7410
Aas-kaute;böses Frauenzimmer;6132
Aas-krapfen;Scheuchruf für Rindvieh;7450
aas-räubisch;rücksichtslos;6405
Aas-vogel;Truthahnbussard;4220
Aas-weih;Truthahnbussard;4220
ab;fort, weg (mit Subst.);9311
ab;fort, weg (mit unpers. es);9311
ab;fort, weg (mit pers. Subj. gegenst.);9311
ab;fort, weg (mit pers. Subj. ü.);9311
ab;auf und ab;9300
ab;ab und zu;9300
ab;/ab-seiend/;9311
AB;/Name einer Tabaksorte/;5921
aba;Verneinung;1230
aba;Ablehnung;1230
Ä-Bäckel;Kuß von einem kleinen Kind;6332
ab-ästen;Äste abhauen;7550
ab-äugeln;beim Rebschnitt die obersten Augen ... entfernen;7470
ab-augen;beim Rebschnitt die obersten Augen ... entfernen;7470
Abba;Vater (im Kindergebet);8840
ab-balgen;den Balg abziehen;7450
ab-balgen;abprügeln;5521
ab-barbieren;abrasieren;5940
ab-bauen;aus einer Stellung entlassen;7010
ab-bauen;schwächer werden;5700
ab-beeren;Beeren von den Stielen abpflücken;7470
ab-beichten;durch schwere Arbeit sühnen;6420
ab-beinen;Fleisch vom Knochen freimachen;7565
ab-beißen;durch Beißen abtrennen;5360
ab-beißen;durch Beißen abnützen;5360
ab-bestellen;einen Lieferungsauftrag zurücknehmen;7600
ab-beten;durch beten entfernen;8840
ab-betteln;wie schd »abbetteln;6400
ab-betteln;von Haus zu Haus gehend betteln;6400
Ab-bettler, -bettlerin;wer darauf aus ist, ... abzubetteln;6100
ab-bezahlen;durch Bezahlen tilgen;7600
ab-biegen;verhauen;5521
ab-biegen;zum Schenken veranlassen;6420
ab-biegen;ein Vorhaben ... auf geschickte Weise verhindern;6430
ab-bieten;bei einer Versteigerung ...überbieten ...;7600
ab-bilden;wie schd »abbilden;7500
ab-bimsen;Holzwerk durch Abreiben mit Bimsstein glätten;7520
ab-binden;/ein Kalb von der Kuh entfernen/;7450
ab-binden;/unterbinden um eine Blutung zu stillen/;5700
ab-binden;/eine Warze a./;5700
