bedeutung;sachgruppe
erster Buchstabe im Abc;8400
(ü) Anfang;9313
Ausruf der Überraschung;1230
Ausruf des Ekels;1230
Ausruf des Behagens;1230
Ausruf des Verstehens;1230
Ausruf der Freude;1230
Ausruf des Schmerzes;1230
Ausruf des Ekels und der Abscheu;1230
Ausruf des Hohnes und der Schadenfreude, bes. bei Kindern;1230
Verneinung nach vorausgegangener Frage;1230
Liebkosung (KS);6332
Kot von Menschen oder Tieren (KS);5340
der Fisch Anguilla vulg;4310
Angel zum Aalfang;7570
Haut des Aals;4310
Aalfang bei der Mühle;7580
fett wie ein Aal;5210
glatt wie ein Aal;6510
Aalfangkasten;7570
Fach zum Aalfangen;7570
geflochtene Aalfalle;7570
der Fisch Aalraupe;4310
zylindrisches, über Reifen gespanntes Netz...;7570
Spreu als Viehfutter;7450
Schweinefutter;7450
verwesende Tierleiche;4010
Scheltwort...;6111
mindere Spreu;7440
Bussardart, die sich von Aas nährt;4220
rücksichtsloser Mensch;6110
sehr schlecht;9240
unweidmännischer Jäger;7550
Kammer zur Aufbewahrung der Spreu;7410
böses Frauenzimmer;6132
Scheuchruf für Rindvieh;7450
rücksichtslos;6405
Truthahnbussard;4220
Truthahnbussard;4220
fort, weg (mit Subst.);9311
fort, weg (mit unpers. es);9311
fort, weg (mit pers. Subj. gegenst.);9311
fort, weg (mit pers. Subj. ü.);9311
auf und ab;9300
ab und zu;9300
/ab-seiend/;9311
/Name einer Tabaksorte/;5921
Verneinung;1230
Ablehnung;1230
Kuß von einem kleinen Kind;6332
Äste abhauen;7550
beim Rebschnitt die obersten Augen ... entfernen;7470
beim Rebschnitt die obersten Augen ... entfernen;7470
Vater (im Kindergebet);8840
den Balg abziehen;7450
abprügeln;5521
abrasieren;5940
aus einer Stellung entlassen;7010
schwächer werden;5700
Beeren von den Stielen abpflücken;7470
durch schwere Arbeit sühnen;6420
Fleisch vom Knochen freimachen;7565
durch Beißen abtrennen;5360
durch Beißen abnützen;5360
einen Lieferungsauftrag zurücknehmen;7600
durch beten entfernen;8840
wie schd »abbetteln;6400
von Haus zu Haus gehend betteln;6400
wer darauf aus ist, ... abzubetteln;6100
durch Bezahlen tilgen;7600
verhauen;5521
zum Schenken veranlassen;6420
ein Vorhaben ... auf geschickte Weise verhindern;6430
bei einer Versteigerung ...überbieten ...;7600
wie schd »abbilden;7500
Holzwerk durch Abreiben mit Bimsstein glätten;7520
/ein Kalb von der Kuh entfernen/;7450
/unterbinden um eine Blutung zu stillen/;5700
/eine Warze a./;5700
/die Wurst zubinden/;7565
den lockeren Reifen ... neu aufziehen;7403
den Dachstuhl ... einrichten;7520
verprügeln;5521
der Braut den Schleier abnehmen;7321
im Handel ... betrügen;7600
übermäßig essen;5910
fest werden vom Mörtel;7510
böser Mensch;6112
wie schd »Abbitte;6420
wie schd »abbitten;6410
sein Amt niederlegen;7010
durch Blasen entfernen;5330
rückgängig machen;6420
in Blasen sich ablösen;9311
... Blätter an Rüben ... zur Futtergewinnung abbrechen;7450
sich blattartig ablösen;9311
mit der Wasserwaage nivellieren;7510
Richtung feststellen;9500
ausfindig machen, erlauschen;5400
mit der Wasserwaage prügeln;5521
wie schd »abblenden;7820
/Vögel abschrecken/;7480
durchprügeln;5521
abweisen;6400
/Mist durch Kippen abwerfen/;7430
einen Baum, der ... sich verfangen hat, absägen;7550
durch Balken abstützen;7510
die ungeöffnete Garbe leicht ausdreschen;7440
/am Strohbündel überstehende Halme abschlagen/;7440
die ungeöffnete Garbe leicht ausdreschen;7440
durchprügeln;5521
sich abmühen;5540
ein Abgebrannter, der ... Spenden sammelt;6410
sich abmühen;5540
durch Brechen...ein Stück vom Ganzen lösen;9311
Abzüge machen, verkürzen (ü);9800
sich schwer tun bei der Arbeit;5540
unterbrechen;9800
durch Brechen entzweigehen (gegenst);9800
furzen (ü);5300
wie schd »abbrennen;9800
ohne Geld sein, mittellos (ü);7600
/Gras abbrennen/;7430
/Feuerwerk abbrennen/ s;7300
abreißen, abbrechen, abtrennen u.ä.;9311
etwas fertigbringen;6420
einen von etwas...abbringen;6420
in kleinen Brocken abfallen;9311
kleine Brocken abbrechen;9311
das Abbrechen eines Gebäudes;9800
/durch Furche bezeichnete Grenze zwischen Wingerten/;7470
quer zu den Rebzeilen verlaufender Gang;7470
/beim Getreidereinigen ausgesonderter Abfall/;7440
weniger essen als man sollte;5910
durch Abwendigmachung der Kundschaft geschäftlich schädigen;7600
Brett, das in der Windmühle den Abbruch nach unten leitet;7580
Abfallspelz;7440
durch siedendes Wasser weich machen;9800
unempfindlich gegen Vorwürfe;6510
sich müde brüllen;5560
Strafe absitzen;8300
durch große Anstrengung ermüden;5540
das Abbinden des Gebälks, bes. des Dachstuhls;7520
/Platz, auf dem das Gebälk probeweise zusammengesteckt wird/;7520
wie schd »abbürsten;5520
seine Übeltat sühnen;6420
das Alphabet;8400
Fibel;8400
/Ballspiel für Mädchen/;7360
Lernanfänger;8400
Lernanfänger;8400
Lernanfänger;8400
/Kinderspiel/;7360
Lernanfänger;8400
die eiternde Geschwulst von Eiter befreien;5700
ausreißen, davonlaufen;5530
verhauen;5521
abkanzeln, herunterputzen;6420
durch Dämmen unter Wasser setzen;7450
Waldbrand durch Aufwerfen von Gräben bekämpfen;7550
mit dem Zuge abreisen;7830
/Kalk trocken ablöschen/;7510
ein Amt niederlegen;6420
entlassen;6420
die Deckel von den Waben abnehmen;7460
das Haus, das Dach a.;7710
den Tisch abräumen;7780
die Bettdecke zurückschlagen;7780
ein verendetes Tier enthäuten;7450
Schinder;7450
Schindanger;7450
abwenden;6420
eine festgesetzte Zeit hindurch dienen;6420
etwas abstreiten;6440
mittels Dole entwässern;7900
Tag des heiligen Abdon;8860
durch Drehen abbrechen, abtrennen, abreißen;5520
durch Drehen abnutzen;9800
auf der Drehbank rund drehen;7520
durch Umdrehen des Schlüssels die Tür abschließen;7700
abschalten;9800
durch geschicktes Spiel abgewinnen;7370
/eine andere Richtung einschlagen/;9800
mit dem Dreschflegel obenhin dreschen;7440
gehörig durchprügeln;5521
durch Drücken entfernen;9800
umarmend immer wieder an sich drücken;6332
sterben;5870
/Umkehrdruck, wird durch Reiben auf Unterlage entwickelt/;7360
/Seil, Garn abrollen/;9800
durchprügeln;5521
sich müde arbeiten;5540
verprügeln;5521
hinab;9500
hinabfallen;9800
hinabgehen;5530
mittels der Egge auf dem Acker...liegendes Unkraut...zus.schleifen;7440
auseinander;9311
Zeit vom Eintritt der Dämmerung bis zum Beginn der Nachtruhe;9600
bunter Unterhaltungsabend;7300
Vorabend eines großen Festtages;7300
Westen;9500
Arsch (RA);5200
Blume, die vor Einbruch der Dunkelheit ihren Kelch schließt;3500
Vieruhressen;5910
am Abend als Entlohnung ausgegebener Brotlaib;5910
wie schd »Abenddämmerung;2100
bittersüßer Nachtschatten;3500
Vieruhressen, Vesper;5910
wie schd »Abendessen;5910
/letzter Schlag, den s. Kinder abends vor dem Auseinandergehen geben/;5520
wie schd »Abendgebet;8840
gelber Himmel am Abend;2100
der Himmel am Abend;2100
Benennung der Kartoffel (sch);3400
frische Luft am Abend;2300
das kirchlich heilige Abendmahl;8840
wie schd »Abendmahlsbrot;8830
wie schd »Abendmahlskelch;8830
s;5934
wie schd »Abendmahlskrug;8830
wie schd »Abendmahlsschuhe;5937
wie schd »Abendmahlswein;8830
Milch, die am Abend gemolken wird;7455
wie schd »Abendnebel;2200
letzter Schlag, den die Kinder einander beim Gutenachtsagen geben;5520
Röte am westlichen Himmel nach Sonnenuntergang;2100
wie schd »abends;9600
wie schd »Abendschoppen;5920
Abendunterricht für Fortbildungsschüler;8400
das aus einem Gebetbuch gelesene Abendgebet;8850
Sonne vor dem Untergang;2100
wie schd »Abendstern;2100
Stunde am Abend;9600
wie schd »Abendtau;2200
Abendzeche;5910
Abendessen;5910
Abendessen;5910
wie schd »Abendzeit;9600
entgegenstellend;9300
den Gefühlsausdruck steigernd;9200
oder;1110
abermals, wieder;9400
fleißig, eifrig;6405
herab, abwärts;9500
wie schd »Aberglaube;8810
wie schd »abergläubig, abergläubisch;8810
sich verrückt gebärdend;6270
wie schd »abermals;9400
sich tummeln;5570
sich wehren;6440
aber sicher, ei gewiß;6440
Nachwuchs der ausgefallenen Getreidekörner auf dem...Acker;7440
Auswuchs der Getreidekörner auf dem Halm infolge Nässe;7440
Widerwille;6440
ekelerregend;6320
trotzig, eigensinnig;6405
/Blattwinkeltrieb des Weinstocks, seltener Obstbaums/;7470
/Blattwinkeltrieb des Weinstocks, seltener Obstbaums/;7470
herabschlagen;5520
etwas von etwas herunteressen;5910
fertig sein mit Essen;5910
Rest einer Speise, eines Getränkes;5910
Faden entfernen;5520
abwickeln;5520
Faden entfernen;5520
Faden entfernen;5520
kübelähnliches Gefäß mit niedrigem Rand;7470
die Fahrt beginnen;7850
plötzlich abbrechen, -reißen (usw.) und wegspringen;9311
abgleiten;9800
durch Fahren abnützen;7820
sich entfernen (ü);5532
von sich weisen;6440
sterben;5870
abtransportieren;7800
durch das Gewicht des Fahrzeugs abtrennen;7820
entlangfahren;7820
Abreise mittels Fahrzeugs;7850
Befehlsstab des Fahrdienstleiters (sch);7830
auf dem Acker abgefallene Getreidekörner;7440
Abfall beim Keltern...;7470
Hiebe, Schläge;5521
sich lösen und herabfallen;9311
Es gibt Schläge;5521
ein Geschenk, ein Trinkgeld ist zu erwarten;6450
senkt sich zu Tal;2800
abmagern;5700
das Bekenntnis wechseln;8800
Holz, das bei der Verarbeitung übrigbleibt;7520
die abgeschnittenen Rebschosse;7470
wie schd »abfällig;6440
Abfall;9300
Wurstreste beim Fleischer;7565
bis auf den letzten fangen (von Fischen);7570
auflauernd festnehmen;8230
vor dem Verenden schlachten;7450
einen Wasserlauf...ableiten;7900
den obstbeladenen Ast...abstützen;7480
lauschend erhaschen;5420
Schläge bekommen;5521
beim Spiel den Ball wegfangen;7360
einem mit dem Neujahrswunsch zuvorkommen;7310
Farbe lassen;9800
/Moden, Gewohnheiten übernehmen/;6260
Getreide in Säcke fassen;7440
(einen geworfenen Gegenstand) auffangen;5520
dem Dieb auflauern und ihn abfangen;8230
am Rande umbiegen;9800
Schläge bekommen;5521
auf betrügerische Weise ablisten;6510
durch faulen sich von etwas lösen;9311
in einer Straße bettelnd von Haus zu Haus gehen;6410
mit einem Staubtuch oder -besen abwischen;7780
die Meinung sagen;6333
den Schaum abschöpfen;5910
schießen;8500
sich rasch entfernen;5533
durch Reibung abschürfen;9800
Mörtel...abreiben, glätten;7510
Schläge geben, eigentl. mit dem Filz schlagen;5521
einen hinsichtlich eines Anspruchs zufriedenstellen;6420
etwas als unvermeidlich hinnehmen;6260
abtasten;5520
leer fischen;7570
Fasern lassen;5931
Fasern lassen;5931
durch Fitschen (Reiben) abnützen;9800
mit einer Rute durchhauen;5521
sterben;5870
mit einem flachen Gegenstand durchhauen;5521
mit einem flachen Gegenstand durchhauen;5521
sterben;5870
sterben;5870
wie schd »abflauen;2300
wie schd »abfließen;7900
in dünnen Scheiben ruckartig wegschneiden;9311
von Flöhen befreien;5940
im Spiel (bes. Klickerspiel) alles abgewinnen (sch);7370
durchhauen;5521
mit einer Rute durchhauen;5521
durchhauen;5521
wie schd »Abfluß;7900
Entwässerungsgraben;7900
von einem etwas fordern;6410
photographieren;7500
wie schd »abfragen;8400
wie schd »abfressen;5910
im Klickerspiel abgewinnen;7370
wie schd »abfrieren;5700
abhandeln;7600
entschiedene Abweisung;6333
abbefördern;7800
ins Gefängnis bringen;8230
beschämen (ü);6333
entrichten, bezahlen;7600
den Stuhlgang befördern;5340
Diarrhöe;5340
Faulbaum;3200
aus einem Gefäß in andere (bes. in Flaschen) füllen;7470
durch Fummeln (derbes Reiben) reinigen;5520
derb die Meinung sagen (ü);6333
Fasern lassen;5931
fertig füttern;7450
durchprügeln;5521
mit der Gabel abladen;7430
Steuern;8220
sich schnell davonmachen;5533
das Weggehen, Abtreten;5532
