lemma,bedeutung,sachgruppe
#Kreuz,Kreuz (in Redensart),4114
#spanen,säugen (Ferkel),4113
(G)leis,Fahrspur im Feldweg,7810
(Pelz) verkaufen,Haare schneiden,5940
(in) die Nüsse gehen,sterben,5870
(ruhiges) Fleisch,"Fähigkeit, ruhig bei Tisch zu sitzen",5500
(schön) hinanstellen,schöntun bei Höhergestelltem,6530
28er,besonders starkes Bier,5920
60er,Briefmarke im Wert von 60 Pfennig,7840
8-Uhr-Blatt,"Schulkind, das dem Lehrer immer alles verrät",8400
[auf] Tournee sein,auf Wanderschaft sein,7500
À-la-fin,"Mensch, der bei der Arbeit nichts zustande bringt",5230
á la mode,Gewürzmischung,5910
à la,in der Art von,9300
à la bonne heure,"alle Achtung!, ausgezeichnet!, bravo!, recht so!",1230
A-B-C-Pflaster,"Pflaster, das die Durchblutung anregt und dadurch zusammenziehend wirkt",5700
A-Mannschaft,beste Mannschaft,7340
ABC-Klopfen,"Kinderspiel, bei dem die Teilnehmer abwechselnd mit Zeige- und Mittelfinger möglichst kräftig auf diese Finger des anderen schlagen",7360
A-B-Papier,Klopapier,5940
A-B-Fliege,"Abortfliege, Fliege in der Toilette",4700
Aal,Aal (in Redensart),4310
A und F,Arsch und Friedrich (in Redensart),5440
Aaron,Aaron,7120
Aaronsrute,Königskerze,3500
Aas,Mensch (pejor),6111
Aas,weibliche Person (pejor),6131
Aas,"Aas, Mensch (pejor)",6111
Aas,Frau (pejor),6111
Aas,"Frau (pejor): Mädchen, das die Leidenschaft der Burschen erregt",6111
Aasgeier,"Geier, von Aas lebender Geier (in Redensart)",4220
Aasgeier,von Aas lebender Raubvogel (in Redensart),4250
Ab- und Aufmännlein,Hampelmann,7360
Abbitte,nach Konfirmation bzw. Kommunion bei Respektpersonen Abbitte tun,8840
Abbitte,nach Konfirmation bei Respektpersonen Abbitte tun,7323
Abblattkörbel,"Gefäß, in das man Äpfel pflückt",7480
Abbruch,Fällkerbe im Baumstamm,7550
Abbruch,auf die Tenne gefallene Futter- oder Getreidereste,7440
Abbruch,Ende,9314
Abbruch,Langholzabschnitt,7550
Abbutz,Abfall beim Gemüseputzen,7740
Abbutzet,Abfall beim Gemüseputzen,7740
Abbützig,Abfall beim Gemüseputzen,7740
Abbutzig,Abfall beim Gemüseputzen,7740
Abbutzig,Kartoffelschale,7740
Abdecker,"Hut, der eine außergewöhnliche Form hat",5936
Abdecker,"auffallend hässlicher, kitschiger Damenhut",5936
Abdeckrasen,aus der Grasnarbe herausgestochenes ziegelförmiges Stück Erde,7420
Abding,Geldzahlung des Erben an Eltern bei Hofübergabe,8330
Abdruckbildlein,"Form, die entsteht, wenn man sich mit ausgebreiteten Armen in den Schnee legt",7360
Abdruck,"Form, die entsteht, wenn man sich mit ausgebreiteten Armen in den Schnee legt",7360
Abdruck,"Druck, der hinter einem Wurf (z. B. Steinwurf) sitzt",9230
Abdruckelein,"Form, die entsteht, wenn man sich mit ausgebreiteten Armen in den Schnee legt",7360
Abend,Abend,9600
Abend,Abend (Tageszeit),9600
Abend,Abend (Gruß),7351
Abend,Abend (in Fügung),7310
Abendarbeit,abendliche Versorgung des Stallviehs,7450
Abendbauer,"Bauer, der neben der Hofarbeit noch in einem Betrieb arbeitet",7401
Abendbrot,Abendessen,5910
Abendbrot,Zwischenmahlzeit am Nachmittag,5910
Abendbrotzeit,Zwischenmahlzeit am Nachmittag,5910
Abendessen,Abendessen,5910
Abendessen,Zwischenmahlzeit am Nachmittag,5910
Abendessen,abends eingenommene Mahlzeit,5910
Abendkirche,Nachmittagsandacht,8840
Abendmahl,Beichte und Kommunion,8840
Abendmahl,das letzte Abendmahl Jesu nachgestellt in der Kirche,8840
Abendmahlengast,"Leute, die zu Beichte und Kommunion gehen",8840
Abendmahler,"Leute, die zu Beichte und Kommunion gehen",8840
Abendmahlgast,"Leute, die zu Beichte und Kommunion gehen",8840
Abendmahlgeher,"Leute, die zu Beichte und Kommunion gehen",8840
Abendmahlgeher,"jemand, der zu Beichte und Kommunion geht",8840
Abendmahlgehner,"Leute, die zu Beichte und Kommunion gehen",8840
Abendmahlleute,"Leute, die zu Beichte und Kommunion gehen",8840
Abendmahlsgast,"Leute, die zu Beichte und Kommunion gehen",8840
Abendmahlsleute,"Leute, die zu Beichte und Kommunion gehen",8840
Abendplausch,abendliches Zusammensitzen der Nachbarn (nicht der Jugend!),7300
Abendmutter,"Schreckgestalt, Kinderschreck",7350
Abendschmaus,Abendessen,5910
Abendschmus,abendliches Zusammensitzen der Nachbarn (nicht der Jugend!),7300
Abendstall,abendliche Versorgung des Stallviehs,7450
Abendstück,Abendessen,5910
Abendstück,Zwischenmahlzeit am Nachmittag,5910
Abendstall machen,abendliche Versorgung des Stallviehs,7450
Abendtratsch,abendliches Zusammensitzen der Nachbarn (nicht der Jugend!),7300
Abendsuppe,Abendessen,5910
Abendvesper,Abendessen,5910
Abfahrt,"das Abfahren, eines Verkehrsmittels",7800
Abfahrtszeichen,"Signal, bzw. Signalstab, mit dem die Zugaufsicht, die Abfahrt eines Zuges anzeigt",7830
Abfall,Abfall beim Gemüseputzen,7740
Abfall,auf die Tenne gefallene Futter- oder Getreidereste,7440
Abfall,Wehr zum Stauen von Wasser in Bächen,7900
Abfall,Überbleibsel des Viehfutters im Futtertrog,7450
Abfall,Fallobst,3120
Abfall,Abfall,7790
Abfall,Rinde die beim Brettersägen entfernt wird,3010
Abfall,auf die Tenne gefallene Getreidereste,7440
Abfall,"Getreidereste auf dem Feld, nach dem Mähdreschen",7440
Abfallbützig,Abfall beim Gemüseputzen,7740
Abfallet,Abfall beim Gemüseputzen,7740
Abfallfritzen,"Männer, die den Müll abholen",8220
Abfallholz,auf dem Waldboden liegendes Astholz,7550
Abfallkehrich,auf die Tenne gefallene Futter- oder Getreidereste,7440
Abfallobst,Fallobst,3120
Abfallobst,minderwertiges Obst,3120
Abfanger,"Hut, der eine außergewöhnliche Form hat",5936
Abfanger,"jemand, der ein Verbrechen begangen hat",8310
Abfallreisig,auf dem Waldboden liegendes Astholz,7550
Abfeimlöffel,"Küchengerät, flache Schöpfkelle mit Löchern",7740
Abfuhr,Tracht Prügel,5521
Abfuhr,Zurechtweisung,6333
Abfindung,Geldzahlung des Erben an Eltern bei Hofübergabe,8330
Abfälle,"Prügel, Schläge",5521
Abgabe,Gabe an die Hütejungen oder Hirten an Pfingsten,7310
Abgabe,das Weitergeben des Hofes an den Sohn,8330
Abgang,Fehlgeburt,5820
Abgebrühter,emotional kalter Mensch,6333
Abgedrehter,"junger Mensch, der sich spröde stellt, es aber gar nicht ist",6530
Abgefallene,Fallobst,3120
Abgefallene,Restgetreide auf dem Acker,7440
Abgefallenes,Fallobst,3120
Abgefallenes,auf die Tenne gefallene Futter- oder Getreidereste,7440
Abgehackte,Fällkerbe im Baumstamm,7550
Abgehautes,Kahlschlag,7550
Abgeklaubtes,vom Acker abgelesene Steine,2910
Abgenommene,entrahmte Milch,7455
Abgeholztes,Kahlschlag,7550
Abgeputzig,Abfall beim Gemüseputzen,7740
Abgeputztes,Abfall beim Gemüseputzen,7740
Abgerackerter,"alter, runzliger Mann",5145
Abgerahmte,entrahmte Milch,7455
Abgereiterig,auf die Tenne gefallene Futter- oder Getreidereste,7440
Abgerechtes,vom Acker abgelesene Steine,2910
Abgerahmtes,entrahmte Milch,7455
Abgereiterte,auf die Tenne gefallene Futter- oder Getreidereste,7440
Abgereutetes,Kahlschlag,7550
Abgerissener,Mensch (pejor),6111
Abgeräumig,Durcheinander in der Küche nach dem Kochen,7740
Abgeräumtes,Durcheinander in der Küche nach dem Kochen,7740
Abgeschmack,"fader, träger, stumpfsinniger Mensch",6117
Abgeschmackte,sprödes Mädchen,6139
Abgeschmackter,spröder Bursche,6121
Abgeschöpfte,entrahmte Milch,7455
Abgespülig,"Gesamtheit des Küchengeschirrs, das gespült werden muss",7740
Abgestandenes,"Restbier, das über Nacht im Fass geblieben ist",5920
Abgestandiges,"Restbier, das über Nacht im Fass geblieben ist",5920
Abgestochener,"Person, die geschlachtet wurde",8310
Abgetue,"Aufregung, Ereignis",6320
Abgott,"Idol, Götze",6332
Abgott,"Liebling, bevorzugter Schüler des Lehrers",7010
Abhang,Abhang,2800
Abhaue,Fällkerbe im Baumstamm,7550
Abgrund,"Untergang, Verderben",9130
Abhaus,Freiplatz beim Fangenspiel,7360
Abhermahd,"Pflugwende, Ende des Ackers, das zuletzt gepflügt wird",7440
Abhieb,Fällkerbe im Baumstamm,7550
Abhieb,aus der Grasnarbe herausgestochenes ziegelförmiges Stück Erde,7420
Abhäng,Abhang,2800
Abhänger,Abhang,2800
Abholz,Kahlschlag,7550
Abkehrig,keilförmig zulaufendes Ackerstück,7420
Abklauber,vom Acker abgelesener Stein,2910
Abklaubstein,vom Acker abgelesener Stein,2910
Abklaubstein,vom Acker abgesammelter Stein,2910
Abklaubhaufen,"Steinhaufen, der aus den vom Acker abgesammelten Steinen errichtet ist",7440
Abklaubsteinhaufen,"Steinhaufen, der aus den vom Acker abgesammelten Steinen errichtet ist",7440
Abkratzer,Gerät zum Abputzen der Pflugschar,7402
Abklopfer,kastrierter Ziegenbock,4115
Abkraut,Abfall beim Gemüseputzen,7740
Abkratzes,"Zurechtweisungen, Vorwürfe",6333
Abkratzig,Abfall beim Gemüseputzen,7740
Abkäufer,Kunde am Wochenmarkt,7600
Abladig,auf die Tenne gefallene Futter- oder Getreidereste,7440
Ablaufer,Ziegel auf dem Dach,7710
Ablage,"Getreidemenge, aus der eine Garbe gemacht wird",7440
Ablage,"Maschine, mit der man Getreide geschnitten hat",7402
Ablauf,Entwässerungsgraben,7900
Ablauf,"Wasser, das in einem Strahl aus der Dachrinne zur Erde fällt",7900
Ablaufgraben,Entwässerungsgraben,7900
Ablaufgraben,Entwässerungsgraben ziehen,7900
Ablege,"Getreidemenge, aus der eine Garbe gemacht wird",7440
Ablegehaufen,"Steinhaufen, der aus den vom Acker abgesammelten Steinen errichtet ist",7440
Ablegmaschine,"Maschine, mit der man Getreide geschnitten hat",7402
Ableger,das einzige Kind einer Familie,7010
