bedeutung;sachgruppe
erster Buchstabe des Alphabetes, Ausdruck für den Beginn einer Sache, eines Unternehmens o. Ä;1000
Stuhlgang, feste menschliche Ausscheidung;5340
Liebkosung von Wange zu Wange;5510
Aal Anguilla anguilla;4300
(verwesende) Tierleiche, Tierkadaver;4000
gemeine, niederträchtige Person;6112
raffinierte (weibliche) Person;6138
aufgeweckte, pfiffige (weibliche) Person;6118
widerspenstiges Tier;4000
Kolkrabe Corvus corax;4200
durchtriebener, verschlagener Mensch;6111
Aaskrähe Corvus corone;4200
Kolkrabe Corvus corax;4200
Wiener Würstchen;5910
Mann, der Krankheiten durch Beten heilt;8810
noch nicht drei Jahre alter Ochse;4111
Mann, der am Ende einer Hochzeitsfeier oder einer Beerdigungsfeier den Gästen für ihr Kommen dankt;5870
Abdecker, Person, die verendete Tiere beseitigt;7565
Klosett;7720
Abend, Zeit um die Abenddämmerung;9600
Nachmittag, Zeit zwischen Mittag und Abenddämmerung;9600
Vortag;9600
Westen;2100
(bäuerliche) Tätigkeit, die am Abend verrichtet wird;7401
Abendessen, Mahlzeit am Abend;5910
Zwischenmahlzeit am Nachmittag;5910
Mahlzeit am Abend, Mahlzeit nach der Stallarbeit;5910
Sakrament in der evangelischen Kirche, bei dem mit Bezug auf Jesu Abendmahl für den Gläubigen Christus in Brot und Wein gegenwärtig ist;8840
Abendessen nach der Stallarbeit;5910
abends gemolkene Milch;7455
Abendrot;2100
Abendrot;2100
Abendschein, Licht der Abendsonne;2100
Abendstern, der als auffallend hell leuchtender Stern erscheinende Planet Venus am westlichen Himmel nach Sonnenuntergang;2100
Abendessen, Mahlzeit am Abend, Mahlzeit nach der Stallarbeit;5910
Aberglaube, als irrig angesehener Glaube an die Wirkung übernatürlicher Kräfte;8800
Wintergetreide, das nach dem Anbau von Kartoffeln, Rüben, Klee oder Flachs im gleichen Anbaujahr gesät wird;7400
von einem Brunnentrog abfließendes Wasser;7900
kleines Wehr, über das Wasser herunterfällt;7900
Überschuss;9400
Ausschuss, minderwertige Ware;9200
unbrauchbarer Überrest, Müll;9200
Schläge als Bestrafung;5521
feines Getreidesieb;7400
das Ablichten, Fotografieren;7595
Abfressen durch Schädlinge, Schädlingsfraß;3400
Abweiden von Grünland;7400
abgeriebene Stelle auf der Haut;5700
Fehlgeburt;5700
Austragshaus, kleines separat gebautes Haus für den Bauern, der auf dem Altenteil sitzt;7700
Wohnung des Bauern und seiner Frau, die auf dem Altenteil sitzen;7410
loses Heu, das man vom geladenen Heuwagen mit dem Rechen entfernt;7430
loses Heu, das man vom geladenen Heuwagen mit dem Rechen entfernt;7430
bis zu einem dreiviertel Jahr altes Kalb;7400
loses Heu, das man vom geladenen Heuwagen mit dem Rechen entfernt;7400
loses Heu, das man vom geladenen Heuwagen mit dem Rechen entfernt;7400
